# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
164 16.35 0.76 0.577506 0.726544 0.790429 -0.873244 -0.774544 -0.84647
165 16.45 0.73 0.671706 0.613021 0.635716 -1.00785 -1.10879 -0.852157
166 16.55 0.75 0.66846 0.730416 0.625264 -1.17431 -1.05125 -0.820476
167 16.65 0.78 0.656149 0.67224 0.751259 -0.72193 -0.939255 -0.781185
168 16.75 0.69 0.586877 0.550746 0.603898 -0.81372 -0.829823 -0.804087
169 16.85 0.73 0.618867 0.620573 0.622204 -1.02683 -0.480775 -0.798902
170 16.95 0.85 0.660851 0.687345 0.618569 -1.21172 -0.865163 -0.77896
171 17.05 0.71 0.5923 0.579859 0.697453 -1.26282 -1.03351 -0.751746
172 17.15 0.763333 0.579231 0.607632 0.726232 -0.864219 -0.452777 -0.77985
173 17.25 0.77 0.724035 0.597839 0.587629 -0.899282 -0.574594 -0.766045
174 17.35 0.736667 0.526643 0.661529 0.551253 -0.802628 -0.961108 -0.742585
175 17.45 0.82 0.730007 0.636732 0.690208 -1.13692 -0.94964 -0.785299
176 17.55 0.743333 0.630265 0.684057 0.652191 -0.421314 -0.736459 -0.743843
177 17.65 0.793333 0.623248 0.694614 0.630675 -0.718719 -0.722329 -0.784385
178 17.75 0.696667 0.569125 0.463287 0.599829 -0.66288 -0.568355 -0.862779
179 17.85 0.753333 0.69458 0.635719 0.662504 -0.70679 -0.763045 -0.931661
180 17.95 0.78 0.723653 0.639791 0.688929 -0.978904 -0.231925 -0.965836
181 18.05 0.73 0.550095 0.706436 0.637914 -1.02056 -0.585236 -0.9482
182 18.15 0.756667 0.809358 0.63479 0.649193 -1.00056 -0.662127 -0.971418
183 18.25 0.726667 0.76142 0.645359 0.624156 -0.998763 -1.26363 -1.00962
184 18.35 0.75 0.710351 0.774723 0.549151 -1.02179 -1.04696 -1.01064
185 18.45 0.76 0.699402 0.607938 0.502671 -0.877675 -0.925923 -0.969003
