# Time-averaged data for fix fb
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
184 18.35 0.8 0.19065 0.781385 0.429735 -0.521235 -1.76574 -0.993845
185 18.45 0.9 1.49555 0.946792 1.1713 -1.55264 -1.50964 -0.919474
186 18.55 0.7 0.404101 0.58564 0.378443 0.095237 -0.408439 -0.743371
187 18.65 0.5 0.493798 0.283477 0.249846 -0.903819 0.0199673 -0.305506
188 18.75 0.8 1.01338 1.62931 0.473226 -1.20737 -1.05614 -0.273003
189 18.85 0.7 0.937879 0.378161 0.295454 -1.23964 -0.453018 -0.749432
190 18.95 0.9 1.12722 1.19948 0.959917 -2.30818 -0.730994 -0.866443
191 19.05 1 0.531768 1.68649 1.3556 -1.45251 -0.053243 -1.18124
192 19.15 0.6 0.259872 0.978355 0.516315 -2.71879 -0.444369 -1.38158
193 19.25 1.1 1.03558 1.3182 0.485788 -3.01152 -1.99517 -1.51448
194 19.35 1 1.02956 2.01406 0.397636 -1.19793 -3.45342 -1.794
195 19.45 0.3 0.694856 0.111568 0.135925 0.173207 -2.32238 -2.05874
196 19.55 0.2 0.00277879 0.385475 0.00965239 0.654662 -1.99874 -2.45623
197 19.65 0.6 0.852046 0.654728 0.949168 -0.29522 -1.08844 -2.45026
198 19.75 1.3 1.47245 0.830019 0.809262 -2.07659 -2.40359 -2.21551
199 19.85 1 0.629463 0.514485 1.03184 -3.30112 -1.81643 -1.90071
200 19.95 0.2 0.13345 0.0121501 0.334817 -2.77185 -0.967417 -1.89467
201 20.05 1 0.632867 0.852408 0.635094 1.55541 1.25391 -1.8135
202 20.15 1 1.08247 0.772209 0.277104 0.133411 -0.711081 -1.75507
203 20.25 0.7 0.931521 0.948513 0.208885 -0.61829 -1.67264 -1.0002
204 20.35 0.3 0.0911502 0.334867 0.119932 -0.299683 -0.892101 -0.7205
205 20.45 1 1.13564 0.852636 0.843277 -1.33533 0.501364 -0.0292061
206 20.55 0.7 0.704447 0.438823 0.360708 -1.12347 1.59719 0.100221
207 20.65 1.3 1.28668 1.53217 1.73478 0.201151 1.07107 -0.48835
208 20.75 0.8 0.338301 1.51422 0.783906 -0.993733 0.245905 -0.445705
209 20.85 0.8 1.02021 0.353474 0.284078 -0.56482 -0.299946 -0.413879
210 20.95 0.5 0.423933 0.149681 0.345217 -0.448207 -0.259131 -0.195601
211 21.05 0.5 0.181819 0.201488 0.323184 -1.5326 -0.348989 -0.442936
212 21.15 0.8 0.719346 0.405181 0.746517 -2.01366 0.167573 -0.941086
213 21.25 1.1 1.52144 0.563723 0.941073 -2.53403 -1.49427 -0.761791
214 21.35 0.4 0.142503 0.439004 0.470977 -1.98829 -1.28723 -0.688257
215 21.45 1 1.32299 0.571486 1.33631 -0.921465 -2.04565 -0.747777
216 21.55 0.8 0.314935 0.635366 0.48417 0.542012 -1.76762 -0.357226
217 21.65 0.6 0.690828 0.310065 0.360879 1.90429 -2.05669 -0.560927
218 21.75 1.2 0.535043 1.07306 0.560975 1.49458 -1.20541 -0.445992
219 21.85 0.7 0.46614 0.760432 0.292449 -0.977085 -0.575655 -0.529226
220 21.95 0.6 1.01764 0.501325 0.316912 -1.87385 -1.1881 -0.68438
221 22.05 0.4 0.48535 0.20235 0.718368 -1.22432 -1.0949 -0.151643
222 22.15 0.7 0.419244 0.585471 0.214012 1.08166 -1.02223 -0.0823139
223 22.25 1.3 1.20928 0.791046 0.923625 0.182259 -0.754784 -0.187801
224 22.35 0.3 0.27831 0.106892 0.00994327 -0.66108 -0.436966 0.014681
225 22.45 0.7 0.429752 0.287349 0.17033 -0.979215 -0.575049 -0.156619
226 22.55 0.7 0.476945 0.513219 0.74916 0.0228939 -0.643089 -0.504167
227 22.65 0.8 1.63351 1.14929 1.88527 -2.62896 -2.1718 -0.542092
228 22.75 1 1.11509 2.00999 0.842255 -3.13261 -2.04912 -1.5324
229 22.85 0.5 0.34892 0.448146 0.138283 -1.75936 -0.803233 -1.20995
230 22.95 0.5 0.166464 0.147101 0.486586 -1.84647 -1.59865 -1.27095
231 23.05 0.8 0.570437 0.477419 0.954637 -2.46521 -2.36519 -1.14702
232 23.15 0.7 0.497446 0.198074 0.38016 -1.41495 -2.59354 -0.58509
233 23.25 0.8 0.904005 0.702573 0.676276 -0.930144 -1.09984 -0.560229
234 23.35 0.9 0.358292 1.00505 0.527746 -1.84152 -2.38768 -0.792074
235 23.45 0.7 0.59677 0.687936 0.675997 -1.70988 -1.7602 -0.717198
236 23.55 0.6 0.54495 0.228194 0.450275 -1.79765 -1.54168 -0.537373
237 23.65 0.4 0.0585911 0.623851 0.0868617 -2.43124 -2.0505 -0.460189
238 23.75 0.8 0.77103 0.915117 0.828043 -2.82677 -2.547 -0.925208
239 23.85 0.7 0.327696 0.315607 0.380719 -1.46133 -1.62579 -0.978097
240 23.95 0.6 0.0451709 0.997167 0.318046 -1.99842 -1.54053 -1.1418
241 24.05 0.6 0.2598 0.367108 0.319254 -2.02258 -2.18219 -1.64256
242 24.15 0.7 1.13734 0.5121 1.12819 -2.24138 -2.57115 -1.82988
243 24.25 0.7 0.553735 0.42433 0.471012 -1.21018 -1.74669 -1.22876
244 24.35 1.3 1.42381 1.23304 0.800367 -0.046349 0.686994 -1.10923
245 24.45 0.6 0.286226 0.940609 0.814806 0.0462724 0.220413 -0.610453
246 24.55 0.5 0.347855 0.251718 1.04079 -0.819927 -1.62989 -0.313383
247 24.65 0.7 0.552304 0.519216 0.674436 -1.42603 -1.78573 -0.301989
248 24.75 0.6 0.450832 0.376185 0.277145 -0.793994 -0.991358 -0.619963
249 24.85 0.7 0.799692 0.249945 0.272012 -1.67513 -1.78433 -0.55748
250 24.95 0.6 0.983645 0.709187 0.57188 -1.23568 -1.6645 -0.199346
251 25.05 0.9 1.02132 2.26314 1.45443 -0.114759 -2.33334 -0.00248319
252 25.15 0.9 0.978181 1.20994 1.02149 -0.418112 -2.25321 -0.177538
253 25.25 0.6 0.462438 0.118631 0.287414 -1.38134 -2.35197 -0.716973
254 25.35 0.4 0.74299 1.08185 0.29159 -0.92417 -1.06921 -1.19444
255 25.45 0.3 0.0125683 0.0146996 0.169081 -1.33252 -0.973405 -1.23531
256 25.55 0.6 0.260215 0.424983 0.637272 -1.3693 -0.639439 -0.926437
257 25.65 0.5 0.144662 0.242724 0.0610025 -0.364431 0.0644431 -0.698794
258 25.75 0.9 0.447746 0.784335 0.620809 -1.74527 -1.27591 -0.740423
259 25.85 0.4 0.170282 0.0648409 0.578778 -1.81373 0.0631962 -0.409023
260 25.95 0.7 0.648834 0.403318 0.255672 -1.59198 -0.464633 -0.388217
261 26.05 0.3 0.13696 0.355031 0.147776 -1.22366 -0.293076 -0.329198
262 26.15 0.5 0.5824 0.362748 0.154612 0.605669 2.03716 0.0244981
263 26.25 0.3 0.476663 0.391565 0.320486 -0.322774 -0.110064 0.100241
264 26.35 0.2 0.113138 0.0239339 0.453044 0.0796622 -0.468892 0.0709971
265 26.45 0.5 0.410773 0.379765 0.575977 -0.173671 -0.805177 0.0983285
266 26.55 0.4 0.0994762 0.487363 0.645123 -0.144695 -0.455368 0.0310049
267 26.65 0.1 0.00052624 0.00525478 0.0203006 -0.493615 -0.738831 -0.136046
268 26.75 0.2 0.0941681 0.164229 0.567164 -0.481766 -0.403687 -0.077209
269 26.85 0.3 0.456263 0.194672 0.170474 -0.270372 -0.14817 -0.071048
270 26.95 0 0 0 0 -0.151329 -0.188981 0.0101608
271 27.05 0 0 0 0 -0.151329 -0.188981 0.0101608
272 27.15 0.1 0.0495333 0.00074651 0.0416096 -0.129437 -0.225445 -0.094723
273 27.25 0.3 0.682049 0.660428 0.277721 -0.182282 -0.222041 -0.106329
274 27.35 0.1 0.0205878 0.00356874 0.108535 -0.323196 -0.134624 -0.172741
275 27.45 0 0 0 0 -0.186756 -0.161043 -0.171442
276 27.55 0.2 0.18747 0.0111979 0.127815 -0.133383 -0.119951 -0.136226
277 27.65 0 0 0 0 -0.0964385 -0.0848307 -0.107472
278 27.75 0 0 0 0 -0.0964385 -0.0848307 -0.107472
279 27.85 0.1 0.0707663 0.0328861 0.00890449 -0.0655482 -0.0183771 -0.0567714
280 27.95 0.1 0.0323099 0.00108258 0.00201819 -0.0494566 -0.0129528 -0.0370917
281 28.05 0.2 0.512664 0.0669318 0.067638 -0.00414135 -0.00403959 -0.00428672
282 28.15 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
283 28.25 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
284 28.35 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
285 28.45 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
286 28.55 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
287 28.65 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
288 28.75 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
289 28.85 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
290 28.95 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
291 29.05 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
292 29.15 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
293 29.25 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
294 29.35 0 0 0 0 -0.000281303 -0.000362311 -0.000974721
295 29.45 0.1 0.0213726 0.108056 0.00509626 -0.000215114 -0.000201261 -0.000650636
296 29.55 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
297 29.65 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
298 29.75 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
299 29.85 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
300 29.95 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
301 30.05 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
302 30.15 0 0 0 0 -0.000197413 -0.000158191 -0.000563967
303 30.25 0.1 0.178752 0.0549207 0.0136528 -0.000200244 -0.000164239 -0.000556871
304 30.35 0 0 0 0 -0.000285885 -0.000347181 -0.000342206
305 30.45 0 0 0 0 -0.000285885 -0.000347181 -0.000342206
306 30.55 0 0 0 0 -0.000285885 -0.000347181 -0.000342206
307 30.65 0 0 0 0 -0.000285885 -0.000347181 -0.000342206
308 30.75 0.1 0.285732 0.00013287 0.032059 -0.000188172 -0.000225127 -0.000243004
309 30.85 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
310 30.95 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
311 31.05 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
312 31.15 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
313 31.25 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
314 31.35 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
315 31.45 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
316 31.55 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
317 31.65 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
318 31.75 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
319 31.85 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
320 31.95 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
321 32.05 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
322 32.15 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
323 32.25 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
324 32.35 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
325 32.45 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
326 32.55 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
327 32.65 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
328 32.75 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
329 32.85 0 0 0 0 -2.66999e-05 -2.34295e-05 -7.90702e-05
330 32.95 0.1 0.236178 0.0135937 0.000677077 -3.80109e-05 -0.00349252 -8.38036e-05
331 33.05 0.1 0.00135215 0.0400256 0.00160909 -0.0015301 -0.00777219 -0.00716117
332 33.15 0 0 0 0 -0.00213731 -0.00247506 -0.0101415
