# Time-averaged data for fix fS
# TimeStep Number-of-rows
# Row c_pSR[1] c_pSR[2] c_pSR[3] c_pSR[4] c_pSR[5] c_pSR[6] c_pSR[7] c_pSR[8]
0 360
197 19.65 1 0.664206 0.971724 0.674403 -1.20803 -1.39874 -0.581247
198 19.75 0.6 0.572092 0.368207 0.829194 -1.01477 -0.841169 -0.122456
199 19.85 0.9 2.06605 0.389755 1.91715 -0.802076 -1.47807 -0.301277
200 19.95 0.7 0.642629 0.573197 0.991786 -0.116605 1.45584 -0.132482
201 20.05 0.7 0.235578 0.371654 0.365332 -1.44693 1.41494 -0.655759
202 20.15 1 1.02268 0.809518 0.491061 -3.42659 -1.52218 -0.776952
203 20.25 1 0.621951 0.916558 0.664631 -1.75434 -2.12231 -0.630292
204 20.35 0.6 0.154085 0.1061 0.471153 -1.16327 -1.96842 -0.27938
205 20.45 0.7 0.904615 0.846066 0.487462 -0.407075 0.198371 -0.633208
206 20.55 0.5 0.584075 0.199263 0.254734 -0.549838 -0.301106 -0.590316
207 20.65 0.7 1.12159 0.771122 0.267588 -0.494801 1.8777 -0.262814
208 20.75 0.5 0.20018 0.314535 0.729078 -1.41202 1.156 -0.0693782
209 20.85 1 0.286897 0.917906 0.558226 -1.03793 1.27009 -0.286102
210 20.95 1.1 1.49461 0.862262 1.2223 -0.225193 4.8453 -0.580516
211 21.05 0.7 0.467268 0.519899 0.116963 -1.80248 -1.40581 -0.905182
212 21.15 0.9 0.758456 0.443043 0.24356 -1.93635 -2.39103 -0.823871
213 21.25 0.6 0.113721 0.208087 0.920811 -1.92364 -2.29302 -1.11459
214 21.35 0.4 0.215749 0.25337 0.25562 -1.88985 -1.40492 -1.14729
215 21.45 0.3 0.0817471 0.165557 0.104189 -1.86268 -1.21589 -1.0662
216 21.55 1 0.405392 0.566388 0.851844 -2.28735 -1.88239 -1.03102
217 21.65 1 0.707138 0.730459 1.16855 -2.35006 0.145426 -1.05224
218 21.75 0.9 1.15814 0.840311 0.804372 -0.938688 0.587758 -0.849537
219 21.85 0.5 0.711656 0.125474 0.505334 -0.825434 3.90383 -0.61174
220 21.95 1.3 0.495745 0.972919 1.05495 -1.8941 -1.12365 -1.0601
221 22.05 0.6 0.264147 0.670799 0.943139 -2.23676 -1.14501 -0.384786
222 22.15 0.4 0.294544 0.452418 0.211713 -1.12145 -0.837364 -0.850931
223 22.25 0.6 0.724779 0.365521 0.579918 -0.5054 -1.9145 -0.767946
224 22.35 0.7 0.44274 0.62909 1.13826 -1.59786 -1.82269 -0.493431
225 22.45 0.7 0.584583 0.658934 0.899662 -1.36736 -1.75503 -0.493794
226 22.55 0.9 0.72823 0.278718 0.525157 1.0064 5.08354 -0.414806
227 22.65 0.4 0.622441 0.745321 0.479599 0.939886 -0.47562 -0.659089
228 22.75 1.2 0.944157 0.582756 0.661804 0.378119 -0.341999 -0.769137
229 22.85 0.8 1.05851 0.463545 1.01044 0.487441 0.673775 -0.961157
230 22.95 1 1.39687 0.709707 1.4438 -0.784326 2.04249 -1.13477
231 23.05 0.4 0.0296087 0.711219 0.436317 -1.97503 -1.27579 -1.40167
232 23.15 0.8 0.501862 0.422014 0.740442 -2.07185 -1.71365 -1.42608
233 23.25 0.5 0.145418 0.241067 0.174277 -0.605964 -1.9731 -1.40276
234 23.35 0.8 0.408726 0.691977 0.312247 0.107531 -1.66899 -1.04537
235 23.45 0.7 1.0131 0.403499 0.541427 -0.150802 -1.30866 -1.06239
236 23.55 0.4 0.0714744 0.0688414 0.427967 -0.741542 -1.3747 -1.13234
237 23.65 0.6 1.32628 1.14937 0.58848 -1.01134 -1.71584 -1.24239
238 23.75 0.9 0.734413 0.45923 1.63808 1.70276 -1.26403 -1.1993
239 23.85 0.6 0.328566 0.184184 1.04472 -1.50669 -1.71897 -1.05711
240 23.95 1 0.681184 0.412482 0.643965 -2.10969 -1.9813 -0.629173
241 24.05 0.6 1.45056 0.854654 0.435722 -1.72582 -1.63299 -0.511819
242 24.15 0.6 0.7558 0.30125 0.917706 -1.30156 -0.896734 -0.592428
243 24.25 0.7 0.837485 0.252715 1.02792 -1.68644 -1.10113 -0.73305
244 24.35 0.8 0.241321 0.364527 0.36682 0.0616462 -0.871538 -0.280868
245 24.45 0.4 0.164064 0.618708 0.206741 0.509395 -0.538855 0.113292
246 24.55 0.6 0.373461 0.537043 0.355978 -0.497966 -1.12125 -0.0101604
247 24.65 1.1 0.371717 1.28697 0.724854 -1.86734 -2.61935 -0.0874375
248 24.75 0.7 0.434855 0.282523 1.21196 0.853368 -1.63263 0.437729
249 24.85 0.7 0.514466 0.998485 0.66624 2.90619 -0.912353 0.7291
250 24.95 0.8 0.76776 0.351869 0.92252 1.93834 -0.584792 0.71531
251 25.05 0.5 0.453524 0.295892 0.577692 -0.0376955 -0.545377 0.46938
252 25.15 0.8 0.572184 0.435564 0.287308 -0.450156 -0.651807 0.36835
253 25.25 0.3 0.301096 0.085573 0.0518658 -2.04603 -1.03424 -0.0949718
254 25.35 0.5 0.0489572 0.543207 0.731503 -1.64652 -1.00921 -0.447326
255 25.45 0.7 0.746146 0.78923 0.309558 -0.647222 -0.751914 -0.371043
256 25.55 0.5 0.371334 0.132462 0.460482 -0.820485 -1.68706 -0.317156
257 25.65 0.9 1.15069 0.421933 0.698005 0.0142837 -0.603794 0.261791
258 25.75 0.5 0.311054 1.31534 0.16592 1.48306 -0.11186 0.0646187
259 25.85 0.5 0.309236 0.711868 0.821778 -0.729013 -0.602748 -0.0456299
260 25.95 0.4 0.393111 0.0203934 0.211759 -0.618819 -1.09923 -0.148487
261 26.05 0.4 0.125884 0.0893336 0.799768 -0.91783 -0.647072 -0.380961
262 26.15 0.4 0.183512 0.448831 0.360735 -0.921626 -0.775088 -0.571944
263 26.25 0.4 0.189759 0.207773 0.125969 -1.20139 -0.986301 -0.587791
264 26.35 0.6 0.700074 0.589321 0.544728 -0.469229 -1.18753 -0.385782
265 26.45 0.5 0.0208314 0.57817 0.716382 -0.967515 -0.766496 -0.377157
266 26.55 0.4 0.989372 0.365865 0.0675187 -1.11999 -0.749876 -0.242332
267 26.65 0.3 0.0618274 0.33259 0.43601 -0.645547 -0.525837 -0.116517
268 26.75 0.4 0.118131 0.705588 0.112068 -0.507652 -0.707624 0.209127
269 26.85 0.2 0.0246179 0.232578 0.467382 -0.166891 -0.496281 0.199983
270 26.95 0 0 0 0 -0.101292 -0.460292 0.196431
271 27.05 0 0 0 0 -0.101292 -0.460292 0.196431
272 27.15 0.1 0.121022 0.0396995 0.330065 -0.182863 -0.543635 0.198816
273 27.25 0.2 0.132315 0.144668 0.308828 -0.00751362 -0.403541 0.213017
274 27.35 0.3 0.314818 0.0281369 0.142471 -0.00365677 -0.18695 0.154776
275 27.45 0.1 0.0359416 0.000822197 0.0555943 -0.0295305 -0.036785 0.216943
276 27.55 0.1 0.0279366 0.0862337 0.0338217 0.573058 -0.170478 0.0500277
277 27.65 0.3 0.115044 0.0947283 0.343338 1.10423 0.12709 -0.117546
278 27.75 0 0 0 0 -0.0370198 -0.0344416 -0.0841996
279 27.85 0.1 0.0850145 0.230572 0.0290923 -0.0330448 -0.0305758 -0.0769486
280 27.95 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
281 28.05 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
282 28.15 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
283 28.25 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
284 28.35 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
285 28.45 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
286 28.55 0 0 0 0 -0.0113745 -0.00950104 -0.0374188
287 28.65 0.2 0.0330124 0.0395949 0.802214 0.889568 0.187619 0.00642
288 28.75 0.1 0.0829409 0.000934341 0.0539489 1.28743 0.275566 0.0492301
289 28.85 0.1 0.0282559 0.00959816 0.000780088 0.26493 0.057004 0.00725592
290 28.95 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
291 29.05 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
292 29.15 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
293 29.25 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
294 29.35 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
295 29.45 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
296 29.55 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
297 29.65 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
298 29.75 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
299 29.85 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
300 29.95 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
301 30.05 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
302 30.15 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
303 30.25 0 0 0 0 -0.000996557 -0.000199308 -0.0053147
304 30.35 0.1 0.245132 0.00752421 0.0577571 -0.0128637 -0.0144854 -0.00921354
305 30.45 0 0 0 0 -0.0166939 -0.0190963 -0.0104719
306 30.55 0 0 0 0 -0.0166939 -0.0190963 -0.0104719
307 30.65 0.1 0.0233427 0.0189672 0.0174039 -0.0163701 -0.0224663 -0.0131472
308 30.75 0 0 0 0 -0.015091 -0.0357797 -0.0237158
309 30.85 0 0 0 0 -0.015091 -0.0357797 -0.0237158
310 30.95 0.1 0.011673 0.16317 0.0115929 -0.0152115 -0.0357446 -0.02364
