# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
196 19.55 0.2 0.00277879 0.385475 0.00965239 0.64545 -2.00868 -2.46054
197 19.65 0.6 0.852046 0.654728 0.949168 -0.310408 -1.09443 -2.45701
198 19.75 1.3 1.47245 0.830019 0.809262 -2.10436 -2.42305 -2.22734
199 19.85 1 0.629463 0.514485 1.03184 -3.30952 -1.82609 -1.91008
200 19.95 0.2 0.13345 0.0121501 0.334817 -2.77551 -0.974608 -1.89746
201 20.05 1 0.632867 0.852408 0.635094 1.54075 1.24033 -1.82365
202 20.15 1 1.08247 0.772209 0.277104 0.121735 -0.732101 -1.76516
203 20.25 0.7 0.931521 0.948513 0.208885 -0.626982 -1.68754 -1.00838
204 20.35 0.3 0.0911502 0.334867 0.119932 -0.310048 -0.902124 -0.726199
205 20.45 1 1.13564 0.852636 0.843277 -1.35526 0.478516 -0.0412496
206 20.55 0.7 0.704447 0.438823 0.360708 -1.13785 1.58138 0.0905411
207 20.65 1.3 1.28668 1.53217 1.73478 0.173369 1.04045 -0.502893
208 20.75 0.8 0.338301 1.51422 0.783906 -1.0074 0.235426 -0.45636
209 20.85 0.8 1.02021 0.353474 0.284078 -0.584488 -0.324053 -0.424319
210 20.95 0.5 0.423933 0.149681 0.345217 -0.46177 -0.275872 -0.203459
211 21.05 0.5 0.181819 0.201488 0.323184 -1.54425 -0.357019 -0.45065
212 21.15 0.8 0.719346 0.405181 0.746517 -2.03261 0.15023 -0.950969
213 21.25 1.1 1.52144 0.563723 0.941073 -2.5558 -1.51122 -0.773923
214 21.35 0.4 0.142503 0.439004 0.470977 -1.99819 -1.29078 -0.695101
215 21.45 1 1.32299 0.571486 1.33631 -0.938624 -2.06271 -0.759305
216 21.55 0.8 0.314935 0.635366 0.48417 0.524389 -1.78487 -0.367819
217 21.65 0.6 0.690828 0.310065 0.360879 1.89617 -2.06087 -0.570374
218 21.75 1.2 0.535043 1.07306 0.560975 1.47716 -1.22903 -0.459752
219 21.85 0.7 0.46614 0.760432 0.292449 -0.984603 -0.591119 -0.538778
220 21.95 0.6 1.01764 0.501325 0.316912 -1.88413 -1.19972 -0.69332
221 22.05 0.4 0.48535 0.20235 0.718368 -1.2328 -1.09982 -0.158566
222 22.15 0.7 0.419244 0.585471 0.214012 1.06322 -1.03409 -0.0914803
223 22.25 1.3 1.20928 0.791046 0.923625 0.161371 -0.779788 -0.200774
224 22.35 0.3 0.27831 0.106892 0.00994327 -0.663494 -0.442746 0.00979379
225 22.45 0.7 0.429752 0.287349 0.17033 -0.990119 -0.583439 -0.16435
226 22.55 0.7 0.476945 0.513219 0.74916 0.0118185 -0.645264 -0.511803
227 22.65 0.8 1.63351 1.14929 1.88527 -2.64389 -2.18427 -0.550022
228 22.75 1 1.11509 2.00999 0.842255 -3.14829 -2.06247 -1.5411
229 22.85 0.5 0.34892 0.448146 0.138283 -1.76498 -0.809657 -1.214
230 22.95 0.5 0.166464 0.147101 0.486586 -1.85571 -1.60502 -1.27494
231 23.05 0.8 0.570437 0.477419 0.954637 -2.48351 -2.37262 -1.15306
232 23.15 0.7 0.497446 0.198074 0.38016 -1.41797 -2.59159 -0.590066
233 23.25 0.8 0.904005 0.702573 0.676276 -0.935327 -1.10158 -0.565464
234 23.35 0.9 0.358292 1.00505 0.527746 -1.85923 -2.40296 -0.7978
235 23.45 0.7 0.59677 0.687936 0.675997 -1.72078 -1.76887 -0.722237
236 23.55 0.6 0.54495 0.228194 0.450275 -1.80751 -1.54912 -0.541362
237 23.65 0.4 0.0585911 0.623851 0.0868617 -2.435 -2.05665 -0.462453
238 23.75 0.8 0.77103 0.915117 0.828043 -2.83966 -2.56093 -0.930922
239 23.85 0.7 0.327696 0.315607 0.380719 -1.46711 -1.63608 -0.981767
240 23.95 0.6 0.0451709 0.997167 0.318046 -2.00425 -1.55063 -1.1453
241 24.05 0.6 0.2598 0.367108 0.319254 -2.03422 -2.18577 -1.64591
242 24.15 0.7 1.13734 0.5121 1.12819 -2.24974 -2.57508 -1.83256
243 24.25 0.7 0.553735 0.42433 0.471012 -1.21924 -1.75084 -1.23122
244 24.35 1.3 1.42381 1.23304 0.800367 -0.0592029 0.669375 -1.11503
245 24.45 0.6 0.286226 0.940609 0.814806 0.040564 0.215418 -0.610488
246 24.55 0.5 0.347855 0.251718 1.04079 -0.823887 -1.6363 -0.313789
247 24.65 0.7 0.552304 0.519216 0.674436 -1.43383 -1.79033 -0.302715
248 24.75 0.6 0.450832 0.376185 0.277145 -0.802984 -0.998883 -0.619785
249 24.85 0.7 0.799692 0.249945 0.272012 -1.68293 -1.795 -0.557651
250 24.95 0.6 0.983645 0.709187 0.57188 -1.24035 -1.66744 -0.199715
251 25.05 0.9 1.02132 2.26314 1.45443 -0.123365 -2.34328 -0.00500715
252 25.15 0.9 0.978181 1.20994 1.02149 -0.425112 -2.26343 -0.178799
253 25.25 0.6 0.462438 0.118631 0.287414 -1.38522 -2.35992 -0.717377
254 25.35 0.4 0.74299 1.08185 0.29159 -0.919066 -1.06997 -1.19325
255 25.45 0.3 0.0125683 0.0146996 0.169081 -1.32768 -0.974205 -1.23384
256 25.55 0.6 0.260215 0.424983 0.637272 -1.37147 -0.643147 -0.926319
257 25.65 0.5 0.144662 0.242724 0.0610025 -0.367188 0.0585075 -0.699234
258 25.75 0.9 0.447746 0.784335 0.620809 -1.75333 -1.27963 -0.741176
259 25.85 0.4 0.170282 0.0648409 0.578778 -1.8173 0.0640686 -0.409355
260 25.95 0.7 0.648834 0.403318 0.255672 -1.5966 -0.463459 -0.389816
261 26.05 0.3 0.13696 0.355031 0.147776 -1.22693 -0.293366 -0.329499
262 26.15 0.5 0.5824 0.362748 0.154612 0.602216 2.03532 0.0229326
263 26.25 0.3 0.476663 0.391565 0.320486 -0.324036 -0.112254 0.100027
264 26.35 0.2 0.113138 0.0239339 0.453044 0.0800731 -0.468718 0.0701274
265 26.45 0.5 0.410773 0.379765 0.575977 -0.181237 -0.807622 0.0961818
266 26.55 0.4 0.0994762 0.487363 0.645123 -0.144858 -0.45337 0.0307366
267 26.65 0.1 0.00052624 0.00525478 0.0203006 -0.491321 -0.740592 -0.136097
268 26.75 0.2 0.0941681 0.164229 0.567164 -0.483464 -0.405667 -0.0780505
269 26.85 0.3 0.456263 0.194672 0.170474 -0.271844 -0.149461 -0.0716935
270 26.95 0 0 0 0 -0.151116 -0.187366 0.0098789
271 27.05 0 0 0 0 -0.15123 -0.18748 0.00985742
272 27.15 0.1 0.0495333 0.00074651 0.0416096 -0.130512 -0.225817 -0.0956054
273 27.25 0.3 0.682049 0.660428 0.277721 -0.183718 -0.224075 -0.107532
274 27.35 0.1 0.0205878 0.00356874 0.108535 -0.323123 -0.135223 -0.173289
275 27.45 0 0 0 0 -0.186705 -0.161783 -0.172073
276 27.55 0.2 0.18747 0.0111979 0.127815 -0.133568 -0.121352 -0.137302
277 27.65 0 0 0 0 -0.0963365 -0.0856344 -0.107916
278 27.75 0 0 0 0 -0.0963435 -0.0856414 -0.107864
279 27.85 0.1 0.0707663 0.0328861 0.00890449 -0.0652448 -0.0196552 -0.057726
280 27.95 0.1 0.0323099 0.00108258 0.00201819 -0.0488378 -0.0142875 -0.0377619
281 28.05 0.2 0.512664 0.0669318 0.067638 -0.00435263 -0.00497624 -0.00551416
282 28.15 0 0 0 0 -0.000354861 -0.000380041 -0.00136955
283 28.25 0 0 0 0 -0.000573748 -0.000598928 -0.00156543
284 28.35 0 0 0 0 -0.000426645 -0.000451825 -0.00140927
285 28.45 0 0 0 0 -0.000540681 -0.000565862 -0.00154798
286 28.55 0 0 0 0 -0.00045155 -0.00047673 -0.00142244
287 28.65 0 0 0 0 -0.000523194 -0.000548374 -0.00153394
288 28.75 0 0 0 0 -0.000468665 -0.000493845 -0.00143822
289 28.85 0 0 0 0 -0.000510891 -0.000536071 -0.00151715
290 28.95 0 0 0 0 -0.000481761 -0.000506941 -0.00145552
291 29.05 0 0 0 0 -0.000501725 -0.000526905 -0.00150032
292 29.15 0 0 0 0 -0.000492671 -0.000517851 -0.00147218
293 29.25 0 0 0 0 -0.000494507 -0.000519687 -0.00148187
294 29.35 0 0 0 0 -0.000512801 -0.000537981 -0.00149507
295 29.45 0.1 0.0213726 0.108056 0.00509626 -0.000462319 -0.0004875 -0.00109877
296 29.55 0 0 0 0 -0.000268669 -0.000293849 -0.000880865
297 29.65 0 0 0 0 -0.000288918 -0.000314098 -0.000919424
298 29.75 0 0 0 0 -0.000283184 -0.000308364 -0.000905072
299 29.85 0 0 0 0 -0.000283841 -0.000309022 -0.00090749
300 29.95 0 0 0 0 -0.000285724 -0.000310904 -0.000912401
301 30.05 0 0 0 0 -0.000282384 -0.000307564 -0.000901769
302 30.15 0 0 0 0 -0.000284521 -0.000309701 -0.000918428
303 30.25 0.1 0.178752 0.0549207 0.0136528 -0.000377814 -0.000402188 -0.000878774
304 30.35 0 0 0 0 -0.000239784 -0.000239784 -0.0005576
305 30.45 0 0 0 0 -0.000198354 -0.000198354 -0.000535463
306 30.55 0 0 0 0 -0.000203342 -0.000203342 -0.000543542
307 30.65 0 0 0 0 -0.00019925 -0.00019925 -0.00054642
308 30.75 0.1 0.285732 0.00013287 0.032059 -0.000318829 -0.000318829 -0.000496182
309 30.85 0 0 0 0 -7.46954e-05 -7.46954e-05 -0.000346245
310 30.95 0 0 0 0 -0.000113502 -0.000113502 -0.000384547
311 31.05 0 0 0 0 -9.56499e-05 -9.56499e-05 -0.000358942
312 31.15 0 0 0 0 -0.000108473 -0.000108473 -0.000377512
313 31.25 0 0 0 0 -0.000100115 -0.000100115 -0.000363631
314 31.35 0 0 0 0 -0.000106543 -0.000106543 -0.000374287
315 31.45 0 0 0 0 -0.000102601 -0.000102601 -0.00036594
316 31.55 0 0 0 0 -0.000105561 -0.000105561 -0.000372643
317 31.65 0 0 0 0 -0.000104366 -0.000104366 -0.00036671
318 31.75 0 0 0 0 -0.000105139 -0.000105139 -0.000372341
319 31.85 0 0 0 0 -0.000105594 -0.000105594 -0.000367382
320 31.95 0 0 0 0 -0.00010507 -0.00010507 -0.000371204
321 32.05 0 0 0 0 -0.000106368 -0.000106368 -0.000368188
322 32.15 0 0 0 0 -0.000105179 -0.000105179 -0.000370802
323 32.25 0 0 0 0 -0.000106594 -0.000106594 -0.000368784
324 32.35 0 0 0 0 -0.000105468 -0.000105468 -0.000369873
325 32.45 0 0 0 0 -0.000106078 -0.000106078 -0.000369676
326 32.55 0 0 0 0 -0.000106041 -0.000106041 -0.000369237
327 32.65 0 0 0 0 -0.000104343 -0.000104343 -0.000370147
