# Time-averaged data for fix f1
# TimeStep Number-of-rows
# Row c_pfull[1] c_pfull[2] c_pfull[3] c_pfull[4] c_pfull[5] c_pfull[6] c_pfull[7] c_pfull[8]
0 395
217 13.0114 0 0 0 0 -0.051517 -0.051517 -0.053657
218 13.0715 0 0 0 0 -0.051424 -0.051424 -0.0535881
219 13.1316 0 0 0 0 -0.0513303 -0.0513303 -0.0535274
220 13.1917 0 0 0 0 -0.0512356 -0.0512356 -0.0534752
221 13.2518 0 0 0 0 -0.0511395 -0.0511395 -0.0534321
222 13.3119 0 0 0 0 -0.0510418 -0.0510418 -0.0533985
223 13.372 0 0 0 0 -0.0509422 -0.0509422 -0.0533749
224 13.4321 0 0 0 0 -0.0508404 -0.0508404 -0.0533618
225 13.4922 0 0 0 0 -0.0507362 -0.0507362 -0.0533597
226 13.5523 0 0 0 0 -0.0506293 -0.0506293 -0.053369
227 13.6124 0 0 0 0 -0.0505195 -0.0505195 -0.0533903
228 13.6725 0 0 0 0 -0.0504067 -0.0504067 -0.0534239
229 13.7326 0 0 0 0 -0.0502908 -0.0502908 -0.0534704
230 13.7927 0 0 0 0 -0.0501715 -0.0501715 -0.0535302
231 13.8528 0 0 0 0 -0.0500488 -0.0500488 -0.0536038
232 13.9129 0 0 0 0 -0.0499228 -0.0499228 -0.0536914
233 13.973 0 0 0 0 -0.0497933 -0.0497933 -0.0537935
234 14.0331 0 0 0 0 -0.0496605 -0.0496605 -0.0539105
235 14.0932 0 0 0 0 -0.0495244 -0.0495244 -0.0540426
236 14.1533 0 0 0 0 -0.0493853 -0.0493853 -0.0541902
237 14.2134 0 0 0 0 -0.0492432 -0.0492432 -0.0543536
238 14.2735 0 0 0 0 -0.0490984 -0.0490984 -0.0545329
239 14.3336 0 0 0 0 -0.0489512 -0.0489512 -0.0547284
240 14.3937 0 0 0 0 -0.048802 -0.048802 -0.0549401
241 14.4538 0 0 0 0 -0.0486512 -0.0486512 -0.0551683
242 14.5139 0 0 0 0 -0.0484991 -0.0484991 -0.055413
243 14.574 0 0 0 0 -0.0483464 -0.0483464 -0.0556741
244 14.6341 0 0 0 0 -0.0481936 -0.0481936 -0.0559518
245 14.6942 0 0 0 0 -0.0480412 -0.0480412 -0.0562459
246 14.7543 0 0 0 0 -0.0478899 -0.0478899 -0.0565562
247 14.8144 0 0 0 0 -0.0477404 -0.0477404 -0.0568828
248 14.8745 0 0 0 0 -0.0475935 -0.0475935 -0.0572253
249 14.9346 0 0 0 0 -0.0474498 -0.0474498 -0.0575835
250 14.9947 0 0 0 0 -0.0473103 -0.0473103 -0.0579572
251 15.0548 0 0 0 0 -0.0471757 -0.0471757 -0.0583461
252 15.1148 0 0 0 0 -0.0470469 -0.0470469 -0.0587497
253 15.1749 0 0 0 0 -0.0469248 -0.0469248 -0.0591677
254 15.235 0 0 0 0 -0.0468102 -0.0468102 -0.0595997
255 15.2951 0 0 0 0 -0.0467042 -0.0467042 -0.0600453
256 15.3552 0 0 0 0 -0.0466077 -0.0466077 -0.0605039
257 15.4153 0 0 0 0 -0.0465215 -0.0465215 -0.0609751
258 15.4754 0 0 0 0 -0.0464467 -0.0464467 -0.0614584
259 15.5355 0 0 0 0 -0.0463842 -0.0463842 -0.0619532
260 15.5956 0 0 0 0 -0.0463349 -0.0463349 -0.062459
261 15.6557 0 0 0 0 -0.0462998 -0.0462998 -0.0629753
262 15.7158 0 0 0 0 -0.0462799 -0.0462799 -0.0635016
263 15.7759 0 0 0 0 -0.046276 -0.046276 -0.0640372
264 15.836 0 0 0 0 -0.0462891 -0.0462891 -0.0645818
265 15.8961 0 0 0 0 -0.0463201 -0.0463201 -0.0651348
266 15.9562 0 0 0 0 -0.0463699 -0.0463699 -0.0656956
267 16.0163 0 0 0 0 -0.0464393 -0.0464393 -0.0662639
268 16.0764 0 0 0 0 -0.0465293 -0.0465293 -0.0668391
269 16.1365 0 0 0 0 -0.0466407 -0.0466407 -0.0674209
270 16.1966 0 0 0 0 -0.0467744 -0.0467744 -0.0680089
271 16.2567 0 0 0 0 -0.0469313 -0.0469313 -0.0686027
272 16.3168 0 0 0 0 -0.0471123 -0.0471123 -0.069202
273 16.3769 0 0 0 0 -0.0473181 -0.0473181 -0.0698066
274 16.437 0 0 0 0 -0.0475498 -0.0475498 -0.0704161
275 16.4971 0 0 0 0 -0.0478082 -0.0478082 -0.0710305
276 16.5572 0 0 0 0 -0.0480943 -0.0480943 -0.0716496
277 16.6173 0 0 0 0 -0.048409 -0.048409 -0.0722732
278 16.6774 0 0 0 0 -0.0487533 -0.0487533 -0.0729014
279 16.7375 0 0 0 0 -0.0491283 -0.0491283 -0.0735341
280 16.7976 0 0 0 0 -0.0495351 -0.0495351 -0.0741714
281 16.8577 0 0 0 0 -0.0499749 -0.0499749 -0.0748134
282 16.9178 0 0 0 0 -0.0504488 -0.0504488 -0.0754601
283 16.9779 0 0 0 0 -0.0509582 -0.0509582 -0.0761118
284 17.038 0 0 0 0 -0.0515044 -0.0515044 -0.0767686
285 17.0981 0 0 0 0 -0.0520889 -0.0520889 -0.0774309
286 17.1582 0 0 0 0 -0.0527132 -0.0527132 -0.0780988
287 17.2183 0 0 0 0 -0.053379 -0.053379 -0.0787728
288 17.2784 0 0 0 0 -0.054088 -0.054088 -0.0794531
289 17.3385 0 0 0 0 -0.0548419 -0.0548419 -0.08014
290 17.3986 0 0 0 0 -0.0556428 -0.0556428 -0.080834
291 17.4587 0 0 0 0 -0.0564926 -0.0564926 -0.0815355
292 17.5188 0 0 0 0 -0.0573934 -0.0573934 -0.0822449
293 17.5789 0 0 0 0 -0.0583474 -0.0583474 -0.0829625
294 17.639 0 0 0 0 -0.0593568 -0.0593568 -0.0836888
295 17.6991 0 0 0 0 -0.060424 -0.060424 -0.0844243
296 17.7592 0 0 0 0 -0.0615514 -0.0615514 -0.0851693
297 17.8193 0 0 0 0 -0.0627414 -0.0627414 -0.0859242
298 17.8794 0 0 0 0 -0.0639965 -0.0639965 -0.0866895
299 17.9395 0 0 0 0 -0.0653193 -0.0653193 -0.0874656
300 17.9996 0 0 0 0 -0.0667122 -0.0667122 -0.0882528
301 18.0597 0 0 0 0 -0.0681778 -0.0681778 -0.0890514
302 18.1198 0 0 0 0 -0.0697186 -0.0697186 -0.0898619
303 18.1799 0 0 0 0 -0.0713369 -0.0713369 -0.0906845
304 18.24 0 0 0 0 -0.0730352 -0.0730352 -0.0915195
305 18.3001 0 0 0 0 -0.0748158 -0.0748158 -0.0923672
306 18.3602 0 0 0 0 -0.0766808 -0.0766808 -0.0932278
307 18.4203 0 0 0 0 -0.0786322 -0.0786322 -0.0941015
308 18.4804 0 0 0 0 -0.0806719 -0.0806719 -0.0949885
309 18.5405 0 0 0 0 -0.0828015 -0.0828015 -0.0958891
310 18.6006 0 0 0 0 -0.0850225 -0.0850225 -0.0968032
311 18.6607 0 0 0 0 -0.0873361 -0.0873361 -0.097731
312 18.7208 0 0 0 0 -0.0897431 -0.0897431 -0.0986726
313 18.7809 0 0 0 0 -0.0922444 -0.0922444 -0.099628
314 18.841 0 0 0 0 -0.09484 -0.09484 -0.100597
315 18.9011 0 0 0 0 -0.0975301 -0.0975301 -0.10158
316 18.9612 0 0 0 0 -0.100314 -0.100314 -0.102577
317 19.0213 0 0 0 0 -0.103192 -0.103192 -0.103588
318 19.0814 0 0 0 0 -0.106161 -0.106161 -0.104613
319 19.1415 0 0 0 0 -0.109221 -0.109221 -0.105651
320 19.2016 0 0 0 0 -0.11237 -0.11237 -0.106703
321 19.2617 0 0 0 0 -0.115605 -0.115605 -0.107768
322 19.3218 0 0 0 0 -0.118922 -0.118922 -0.108846
323 19.3819 0 0 0 0 -0.12232 -0.12232 -0.109938
324 19.442 0 0 0 0 -0.125794 -0.125794 -0.111043
325 19.5021 0 0 0 0 -0.12934 -0.12934 -0.112161
326 19.5622 0 0 0 0 -0.132952 -0.132952 -0.113292
327 19.6223 0 0 0 0 -0.136627 -0.136627 -0.114435
328 19.6824 0 0 0 0 -0.140358 -0.140358 -0.11559
329 19.7425 0 0 0 0 -0.14414 -0.14414 -0.116758
330 19.8026 0 0 0 0 -0.147966 -0.147966 -0.117938
331 19.8627 0 0 0 0 -0.151829 -0.151829 -0.119129
332 19.9228 0 0 0 0 -0.155722 -0.155722 -0.120332
333 19.9829 0 0 0 0 -0.159639 -0.159639 -0.121546
334 20.043 0 0 0 0 -0.16357 -0.16357 -0.12277
335 20.1031 0 0 0 0 -0.167508 -0.167508 -0.124006
336 20.1631 0 0 0 0 -0.171446 -0.171446 -0.125251
337 20.2232 0 0 0 0 -0.175374 -0.175374 -0.126507
338 20.2833 0 0 0 0 -0.179284 -0.179284 -0.127771
339 20.3434 0 0 0 0 -0.183167 -0.183167 -0.129045
340 20.4035 0 0 0 0 -0.187015 -0.187015 -0.130328
341 20.4636 0 0 0 0 -0.190819 -0.190819 -0.131618
342 20.5237 0 0 0 0 -0.19457 -0.19457 -0.132916
343 20.5838 0 0 0 0 -0.19826 -0.19826 -0.134221
344 20.6439 0 0 0 0 -0.201879 -0.201879 -0.135532
345 20.704 0 0 0 0 -0.20542 -0.20542 -0.136848
346 20.7641 0 0 0 0 -0.208875 -0.208875 -0.138169
347 20.8242 0 0 0 0 -0.212234 -0.212234 -0.139494
348 20.8843 0 0 0 0 -0.215491 -0.215491 -0.140822
349 20.9444 0 0 0 0 -0.218639 -0.218639 -0.142153
350 21.0045 0 0 0 0 -0.221669 -0.221669 -0.143484
351 21.0646 0 0 0 0 -0.224577 -0.224577 -0.144816
352 21.1247 0 0 0 0 -0.227354 -0.227354 -0.146146
353 21.1848 0 0 0 0 -0.229996 -0.229996 -0.147475
354 21.2449 0 0 0 0 -0.232497 -0.232497 -0.1488
355 21.305 0 0 0 0 -0.234853 -0.234853 -0.15012
356 21.3651 0 0 0 0 -0.237059 -0.237059 -0.151434
357 21.4252 0 0 0 0 -0.239112 -0.239112 -0.152742
358 21.4853 0 0 0 0 -0.241008 -0.241008 -0.15404
359 21.5454 0 0 0 0 -0.242745 -0.242745 -0.155328
360 21.6055 0 0 0 0 -0.24432 -0.24432 -0.156604
361 21.6656 0 0 0 0 -0.245733 -0.245733 -0.157867
362 21.7257 0 0 0 0 -0.246982 -0.246982 -0.159115
363 21.7858 0 0 0 0 -0.248067 -0.248067 -0.160346
364 21.8459 0 0 0 0 -0.248989 -0.248989 -0.161559
365 21.906 0 0 0 0 -0.249748 -0.249748 -0.162753
366 21.9661 0 0 0 0 -0.250346 -0.250346 -0.163925
367 22.0262 0 0 0 0 -0.250784 -0.250784 -0.165074
368 22.0863 0 0 0 0 -0.251066 -0.251066 -0.166198
369 22.1464 0 0 0 0 -0.251193 -0.251193 -0.167296
370 22.2065 0 0 0 0 -0.251169 -0.251169 -0.168365
371 22.2666 0 0 0 0 -0.250998 -0.250998 -0.169406
372 22.3267 0 0 0 0 -0.250684 -0.250684 -0.170415
373 22.3868 0 0 0 0 -0.250231 -0.250231 -0.171391
374 22.4469 0 0 0 0 -0.249645 -0.249645 -0.172333
375 22.507 0 0 0 0 -0.248931 -0.248931 -0.17324
376 22.5671 0 0 0 0 -0.248093 -0.248093 -0.17411
377 22.6272 0 0 0 0 -0.247138 -0.247138 -0.174942
378 22.6873 0 0 0 0 -0.246072 -0.246072 -0.175734
379 22.7474 0 0 0 0 -0.2449 -0.2449 -0.176486
380 22.8075 0 0 0 0 -0.243629 -0.243629 -0.177196
381 22.8676 0 0 0 0 -0.242264 -0.242264 -0.177864
382 22.9277 0 0 0 0 -0.240813 -0.240813 -0.178488
383 22.9878 0 0 0 0 -0.239281 -0.239281 -0.179068
384 23.0479 0 0 0 0 -0.237675 -0.237675 -0.179603
385 23.108 0 0 0 0 -0.236001 -0.236001 -0.180092
386 23.1681 0 0 0 0 -0.234266 -0.234266 -0.180535
387 23.2282 0 0 0 0 -0.232475 -0.232475 -0.180931
388 23.2883 0 0 0 0 -0.230634 -0.230634 -0.18128
389 23.3484 0 0 0 0 -0.22875 -0.22875 -0.181582
390 23.4085 0 0 0 0 -0.226828 -0.226828 -0.181837
391 23.4686 0 0 0 0 -0.224874 -0.224874 -0.182044
392 23.5287 0 0 0 0 -0.222893 -0.222893 -0.182203
393 23.5888 0 0 0 0 -0.22089 -0.22089 -0.182315
