# Chunk-averaged data for fix dens and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 238 2000.0000000000007
  94 9.35 12.02 0.853176
  95 9.45 11.9 0.844658
  96 9.55 12.35 0.876599
  97 9.65 12.005 0.852111
  98 9.75 12.585 0.893279
  99 9.85 11.975 0.849982
  100 9.95 12.86 0.912799
  101 10.05 13.12 0.931254
  102 10.15 12.815 0.909605
  103 10.25 12.435 0.882632
  104 10.35 12.335 0.875535
  105 10.45 12.065 0.85637
  106 10.55 11.705 0.830817
  107 10.65 12.41 0.880858
  108 10.75 12.6 0.894344
  109 10.85 12.47 0.885117
  110 10.95 12.92 0.917058
  111 11.05 13.495 0.957871
  112 11.15 13.02 0.924156
  113 11.25 12.59 0.893634
  114 11.35 12.44 0.882987
  115 11.45 11.73 0.832592
  116 11.55 12.03 0.853886
  117 11.65 12.2 0.865952
  118 11.75 12.825 0.910315
  119 11.85 12.95 0.919187
  120 11.95 13.29 0.94332
  121 12.05 13.34 0.946869
  122 12.15 12.96 0.919897
  123 12.25 12.17 0.863823
  124 12.35 12.345 0.876244
  125 12.45 12.015 0.852821
  126 12.55 12.075 0.85708
  127 12.65 12.62 0.895764
  128 12.75 12.8 0.90854
  129 12.85 12.9 0.915638
  130 12.95 13.21 0.937642
  131 13.05 12.65 0.897893
  132 13.15 12.885 0.914573
  133 13.25 12.135 0.861339
  134 13.35 12.19 0.865242
  135 13.45 11.82 0.83898
  136 13.55 12.835 0.911024
  137 13.65 12.245 0.869146
  138 13.75 12.61 0.895054
  139 13.85 12.685 0.900377
  140 13.95 12.62 0.895764
  141 14.05 12.39 0.879438
  142 14.15 12.285 0.871986
  143 14.25 12.43 0.882278
  144 14.35 12.11 0.859564
  145 14.45 12.11 0.859564
  146 14.55 11.835 0.840045
  147 14.65 12.65 0.897893
  148 14.75 11.995 0.851401
  149 14.85 11.695 0.830108
  150 14.95 12.61 0.895054
  151 15.05 12.005 0.852111
  152 15.15 11.87 0.842529
  153 15.25 11.9 0.844658
  154 15.35 12.13 0.860984
  155 15.45 12.17 0.863823
  156 15.55 11.595 0.82301
  157 15.65 11.55 0.819815
  158 15.75 11.645 0.826559
  159 15.85 11.45 0.812717
  160 15.95 11.92 0.846078
  161 16.05 11.64 0.826204
  162 16.15 11.33 0.8042
  163 16.25 11.53 0.818396
  164 16.35 11.43 0.811298
  165 16.45 11.17 0.792843
  166 16.55 11.15 0.791424
  167 16.65 11.075 0.7861
  168 16.75 11.365 0.806684
  169 16.85 11.28 0.800651
  170 16.95 11.155 0.791778
  171 17.05 11.13 0.790004
  172 17.15 10.88 0.772259
  173 17.25 10.76 0.763742
  174 17.35 10.42 0.739608
  175 17.45 10.56 0.749546
  176 17.55 10.4 0.738189
  177 17.65 10.42 0.739608
  178 17.75 10.6 0.752385
  179 17.85 10.365 0.735705
  180 17.95 10.43 0.740318
  181 18.05 9.995 0.709442
  182 18.15 10.175 0.722218
  183 18.25 9.625 0.68318
  184 18.35 9.965 0.707313
  185 18.45 9.415 0.668274
  186 18.55 9.255 0.656917
  187 18.65 9.265 0.657627
  188 18.75 9.2 0.653013
  189 18.85 9.125 0.64769
  190 18.95 8.825 0.626396
  191 19.05 8.725 0.619298
  192 19.15 8.745 0.620717
  193 19.25 8.3 0.589131
  194 19.35 8.4 0.596229
  195 19.45 7.94 0.563579
  196 19.55 8.14 0.577775
  197 19.65 7.73 0.548673
  198 19.75 7.43 0.527379
  199 19.85 7.13 0.506085
  200 19.95 6.595 0.468111
  201 20.05 6.815 0.483727
  202 20.15 6.38 0.45285
  203 20.25 6.305 0.447527
  204 20.35 5.81 0.412392
  205 20.45 5.445 0.386484
  206 20.55 5.05 0.358447
  207 20.65 4.84 0.343542
  208 20.75 5.06 0.359157
  209 20.85 4.335 0.307697
  210 20.95 4.045 0.287113
  211 21.05 3.695 0.26227
  212 21.15 3.21 0.227845
  213 21.25 3.205 0.22749
  214 21.35 3.01 0.213649
  215 21.45 2.475 0.175675
  216 21.55 2.675 0.189871
  217 21.65 2.235 0.15864
  218 21.75 2.195 0.1558
  219 21.85 2.035 0.144444
