# Time-averaged data for fix fK
# TimeStep Number-of-rows
# Row c_pKS[1] c_pKS[2] c_pKS[3] c_pKS[4] c_pKS[5] c_pKS[6] c_pKS[7] c_pKS[8]
0 360
164 16.35 0 0 0 0 -0.334565 -0.334565 -0.321756
165 16.45 0 0 0 0 -0.381558 -0.381558 -0.366289
166 16.55 0 0 0 0 -0.368036 -0.368036 -0.356243
167 16.65 0 0 0 0 -0.378173 -0.378173 -0.375332
168 16.75 0 0 0 0 -0.327289 -0.327289 -0.331385
169 16.85 0 0 0 0 -0.295183 -0.295183 -0.300842
170 16.95 0 0 0 0 -0.300217 -0.300217 -0.299689
171 17.05 0 0 0 0 -0.398169 -0.398169 -0.385553
172 17.15 0 0 0 0 -0.411882 -0.411882 -0.387565
173 17.25 0 0 0 0 -0.41078 -0.41078 -0.38975
174 17.35 0 0 0 0 -0.484302 -0.484302 -0.464594
175 17.45 0 0 0 0 -0.286444 -0.286444 -0.28814
176 17.55 0 0 0 0 -0.312581 -0.312581 -0.318967
177 17.65 0 0 0 0 -0.297407 -0.297407 -0.305231
178 17.75 0 0 0 0 -0.378484 -0.378484 -0.380735
179 17.85 0 0 0 0 -0.349372 -0.349372 -0.347454
180 17.95 0 0 0 0 -0.367733 -0.367733 -0.359462
181 18.05 0 0 0 0 -0.401012 -0.401012 -0.387468
182 18.15 0 0 0 0 -0.339981 -0.339981 -0.330008
183 18.25 0 0 0 0 -0.355163 -0.355163 -0.343976
184 18.35 0 0 0 0 -0.415812 -0.415812 -0.40284
185 18.45 0 0 0 0 -0.337164 -0.337164 -0.331906
186 18.55 0 0 0 0 -0.362703 -0.362703 -0.363435
187 18.65 0 0 0 0 -0.346074 -0.346074 -0.347398
188 18.75 0 0 0 0 -0.317812 -0.317812 -0.315057
189 18.85 0 0 0 0 -0.411733 -0.411733 -0.397411
190 18.95 0 0 0 0 -0.277981 -0.277981 -0.27036
191 19.05 0 0 0 0 -0.49421 -0.49421 -0.467191
192 19.15 0 0 0 0 -0.326153 -0.326153 -0.312297
193 19.25 0 0 0 0 -0.383649 -0.383649 -0.370299
194 19.35 0 0 0 0 -0.337953 -0.337953 -0.327194
195 19.45 0 0 0 0 -0.379067 -0.379067 -0.372086
196 19.55 0 0 0 0 -0.322429 -0.322429 -0.313293
197 19.65 0 0 0 0 -0.39455 -0.39455 -0.388444
198 19.75 0 0 0 0 -0.331969 -0.331969 -0.327605
199 19.85 0 0 0 0 -0.381824 -0.381824 -0.366761
200 19.95 0 0 0 0 -0.350203 -0.350203 -0.332551
201 20.05 0 0 0 0 -0.348268 -0.348268 -0.329323
202 20.15 0 0 0 0 -0.396671 -0.396671 -0.372277
203 20.25 0 0 0 0 -0.389477 -0.389477 -0.379842
204 20.35 0 0 0 0 -0.325597 -0.325597 -0.324404
205 20.45 0 0 0 0 -0.337349 -0.337349 -0.337723
206 20.55 0 0 0 0 -0.30392 -0.30392 -0.305509
207 20.65 0 0 0 0 -0.336766 -0.336766 -0.333121
208 20.75 0 0 0 0 -0.311994 -0.311994 -0.302544
209 20.85 0 0 0 0 -0.385475 -0.385475 -0.372221
210 20.95 0 0 0 0 -0.401888 -0.401888 -0.382824
211 21.05 0 0 0 0 -0.342378 -0.342378 -0.323455
212 21.15 0 0 0 0 -0.365214 -0.365214 -0.349241
213 21.25 0 0 0 0 -0.309968 -0.309968 -0.308284
214 21.35 0 0 0 0 -0.27855 -0.27855 -0.280866
215 21.45 0 0 0 0 -0.26463 -0.26463 -0.266075
216 21.55 0 0 0 0 -0.375711 -0.375711 -0.36674
217 21.65 0 0 0 0 -0.380646 -0.380646 -0.364181
218 21.75 0 0 0 0 -0.35802 -0.35802 -0.3441
219 21.85 0 0 0 0 -0.299945 -0.299945 -0.285242
220 21.95 0 0 0 0 -0.418197 -0.418197 -0.390931
221 22.05 0 0 0 0 -0.303057 -0.303057 -0.296227
222 22.15 0 0 0 0 -0.2715 -0.2715 -0.268365
223 22.25 0 0 0 0 -0.302981 -0.302981 -0.295167
224 22.35 0 0 0 0 -0.314475 -0.314475 -0.307689
225 22.45 0 0 0 0 -0.319928 -0.319928 -0.305314
226 22.55 0 0 0 0 -0.343772 -0.343772 -0.328324
227 22.65 0 0 0 0 -0.271138 -0.271138 -0.255547
228 22.75 0 0 0 0 -0.389439 -0.389439 -0.35879
229 22.85 0 0 0 0 -0.336488 -0.336488 -0.298032
230 22.95 0 0 0 0 -0.350518 -0.350518 -0.318101
231 23.05 0 0 0 0 -0.261685 -0.261685 -0.237982
232 23.15 0 0 0 0 -0.314829 -0.314829 -0.289064
233 23.25 0 0 0 0 -0.269907 -0.269907 -0.246118
234 23.35 0 0 0 0 -0.309487 -0.309487 -0.282704
235 23.45 0 0 0 0 -0.290671 -0.290671 -0.263229
236 23.55 0 0 0 0 -0.244486 -0.244486 -0.218869
237 23.65 0 0 0 0 -0.271313 -0.271313 -0.238246
238 23.75 0 0 0 0 -0.31336 -0.31336 -0.267764
239 23.85 0 0 0 0 -0.274977 -0.274977 -0.226679
240 23.95 0 0 0 0 -0.323255 -0.323255 -0.269082
241 24.05 0 0 0 0 -0.263824 -0.263824 -0.217724
242 24.15 0 0 0 0 -0.259199 -0.259199 -0.214881
243 24.25 0 0 0 0 -0.270619 -0.270619 -0.21926
244 24.35 0 0 0 0 -0.277454 -0.277454 -0.217409
245 24.45 0 0 0 0 -0.219435 -0.219435 -0.16463
246 24.55 0 0 0 0 -0.242211 -0.242211 -0.178694
247 24.65 0 0 0 0 -0.302121 -0.302121 -0.217647
248 24.75 0 0 0 0 -0.243388 -0.243388 -0.171124
249 24.85 0 0 0 0 -0.235212 -0.235212 -0.166194
250 24.95 0 0 0 0 -0.237416 -0.237416 -0.171528
251 25.05 0 0 0 0 -0.193168 -0.193168 -0.136748
252 25.15 0 0 0 0 -0.216675 -0.216675 -0.158143
253 25.25 0 0 0 0 -0.154326 -0.154326 -0.106702
254 25.35 0 0 0 0 -0.171159 -0.171159 -0.119431
255 25.45 0 0 0 0 -0.185343 -0.185343 -0.128109
256 25.55 0 0 0 0 -0.158501 -0.158501 -0.103836
257 25.65 0 0 0 0 -0.188652 -0.188652 -0.124081
258 25.75 0 0 0 0 -0.134738 -0.134738 -0.0887294
259 25.85 0 0 0 0 -0.126083 -0.126083 -0.0848964
260 25.95 0 0 0 0 -0.108871 -0.108871 -0.0739029
261 26.05 0 0 0 0 -0.10123 -0.10123 -0.0699123
262 26.15 0 0 0 0 -0.0924509 -0.0924509 -0.0670695
263 26.25 0 0 0 0 -0.089493 -0.089493 -0.0657141
264 26.35 0 0 0 0 -0.0974419 -0.0974419 -0.0757357
265 26.45 0 0 0 0 -0.0782581 -0.0782581 -0.063145
266 26.55 0 0 0 0 -0.0630421 -0.0630421 -0.0510758
267 26.65 0 0 0 0 -0.0488697 -0.0488697 -0.0404458
268 26.75 0 0 0 0 -0.0482138 -0.0482138 -0.043694
269 26.85 0 0 0 0 -0.0271169 -0.0271169 -0.0273114
270 26.95 0 0 0 0 -0.0148508 -0.0148508 -0.0139244
271 27.05 0 0 0 0 -0.0150299 -0.0150299 -0.0140071
272 27.15 0 0 0 0 -0.0190707 -0.0190707 -0.0198378
273 27.25 0 0 0 0 -0.0220785 -0.0220785 -0.0248127
274 27.35 0 0 0 0 -0.023071 -0.023071 -0.0278394
275 27.45 0 0 0 0 -0.0121166 -0.0121166 -0.0140801
276 27.55 0 0 0 0 -0.0110296 -0.0110296 -0.0131369
277 27.65 0 0 0 0 -0.0154588 -0.0154588 -0.021344
278 27.75 0 0 0 0 -0.00323197 -0.00323197 -0.00496259
279 27.85 0 0 0 0 -0.00589165 -0.00589165 -0.00962742
280 27.95 0 0 0 0 -0.00227136 -0.00227136 -0.00422006
281 28.05 0 0 0 0 -0.00226842 -0.00226842 -0.00424647
282 28.15 0 0 0 0 -0.00227985 -0.00227985 -0.00424928
283 28.25 0 0 0 0 -0.00224381 -0.00224381 -0.00422123
284 28.35 0 0 0 0 -0.00229059 -0.00229059 -0.004273
285 28.45 0 0 0 0 -0.00223325 -0.00223325 -0.00419394
286 28.55 0 0 0 0 -0.00229711 -0.00229711 -0.00431401
287 28.65 0 0 0 0 -0.00473002 -0.00473002 -0.0101189
