# Chunk-averaged data for fix f2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_sa[1] c_sa[2] c_sa[3]
0 396 2000
  347 20.79 8 1.63237 1.63237 1.24107
  348 20.85 9 1.84482 1.84482 1.39353
  349 20.91 8 1.64707 1.64707 1.23663
  350 20.97 9 1.86082 1.86082 1.38928
  351 21.03 8 1.66084 1.66084 1.23352
  352 21.09 9 1.87581 1.87581 1.38652
  353 21.15 9 1.88333 1.88333 1.38564
  354 21.21 9 1.89059 1.89059 1.38516
  355 21.27 8 1.68641 1.68641 1.23115
  356 21.33 9 1.90359 1.90359 1.3853
  357 21.39 9 1.91008 1.91008 1.38597
  358 21.45 9 1.91633 1.91633 1.38702
  359 21.51 9 1.92233 1.92233 1.38846
  360 21.57 9 1.92808 1.92808 1.39027
  361 21.63 9 1.93357 1.93357 1.39245
  362 21.69 9 1.93883 1.93883 1.395
  363 21.75 9 1.94385 1.94385 1.39791
  364 21.81 9 1.94861 1.94861 1.40119
  365 21.87 9 1.95313 1.95313 1.40484
  366 21.93 9 1.95742 1.95742 1.40882
  367 21.99 9 1.96147 1.96147 1.41314
  368 22.05 10 2.18386 2.18386 1.57563
  369 22.11 9 1.96921 1.96921 1.42335
  370 22.17 9 1.9725 1.9725 1.42869
  371 22.23 8 1.75591 1.75591 1.27468
  372 22.29 9 1.97806 1.97806 1.43962
  373 22.35 9 1.98064 1.98064 1.44585
  374 22.41 9 1.98298 1.98298 1.45237
  375 22.47 9 1.98507 1.98507 1.45917
  376 22.53 9 1.9869 1.9869 1.46624
  377 22.59 9 1.98847 1.98847 1.47356
  378 22.65 8 1.76864 1.76864 1.31618
  379 22.71 9 1.99074 1.99074 1.48806
  380 22.77 9 1.99156 1.99156 1.49606
  381 22.83 8 1.77074 1.77074 1.33673
  382 22.89 9 1.99237 1.99237 1.51176
  383 22.95 8 1.77104 1.77104 1.35099
  384 23.01 8 1.77086 1.77086 1.35787
  385 23.07 9 1.99176 1.99176 1.53597
  386 23.13 8 1.76982 1.76982 1.37285
  387 23.19 8 1.76902 1.76902 1.38003
  388 23.25 8 1.76801 1.76801 1.38728
  389 23.31 8 1.76678 1.76678 1.39457
  390 23.37 8 1.76533 1.76533 1.40192
  391 23.43 8 1.76367 1.76367 1.40929
  392 23.49 8 1.76179 1.76179 1.41668
  393 23.55 8 1.75968 1.75968 1.42406
  394 23.61 7 1.53781 1.53781 1.25209
  395 23.67 8 1.75511 1.75511 1.43782
  396 23.73 5 1.09555 1.09555 0.902321
