# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
176 17.55 0.5 0.335435 0.174124 0.733388 -0.963554 0.735392 -1.38919
177 17.65 0.4 0.0776451 0.139382 0.310832 1.13493 -1.43057 -1.35153
178 17.75 0.9 0.619686 0.967737 0.869436 1.68585 -1.98441 -1.18472
179 17.85 0.7 0.391385 0.490359 0.718367 -0.646819 -2.38688 -0.887305
180 17.95 0.8 0.419473 0.73682 1.10618 -2.32525 -1.95006 -0.99289
181 18.05 1 0.887901 1.41418 0.832752 -3.09404 -0.136836 -0.969772
182 18.15 0.6 0.438876 0.510616 0.363271 0.126452 -1.07461 -0.806938
183 18.25 0.7 0.778639 0.353225 0.386385 -2.79194 -1.1004 -0.949734
184 18.35 1.1 0.835589 0.373777 0.532233 -0.99216 0.989318 -0.360232
185 18.45 0.6 0.286741 0.440121 0.803459 -1.72833 0.0610554 -0.110787
186 18.55 0.8 0.328205 0.920168 0.768441 4.03502 1.02281 -0.0658632
187 18.65 0.7 0.518894 0.81292 0.550195 -1.20325 0.519407 -0.103455
188 18.75 0.5 0.67329 0.474437 0.289708 -1.10297 -0.644455 -0.348053
189 18.85 1.1 0.625096 0.37607 0.491188 -0.851643 0.870632 -1.13394
190 18.95 0.2 0.0282691 0.116273 0.135034 -1.93087 -1.00589 -1.46823
191 19.05 1.6 1.67317 1.74839 0.891389 -1.89475 -1.21181 -1.5996
192 19.15 0.5 0.133417 0.341675 0.50647 -2.1548 -1.74621 -1.42737
193 19.25 0.9 0.728404 0.535767 1.08173 0.224521 2.2174 -1.21992
194 19.35 0.6 0.38268 0.150056 0.672002 -0.738011 0.213467 -1.48835
195 19.45 0.9 1.38085 0.833997 0.124694 0.625109 1.84376 -1.13718
196 19.55 0.5 0.274766 0.144467 0.158001 -0.524769 -0.108881 -1.0833
197 19.65 1 0.664206 0.971724 0.674403 -1.55443 -1.7496 -0.918599
198 19.75 0.6 0.572092 0.368207 0.829194 -1.35535 -1.18034 -0.459239
199 19.85 0.9 2.06605 0.389755 1.91715 -1.14915 -1.83014 -0.637642
200 19.95 0.7 0.642629 0.573197 0.991786 -0.466616 1.10832 -0.468646
201 20.05 0.7 0.235578 0.371654 0.365332 -1.79787 1.06832 -0.991343
202 20.15 1 1.02268 0.809518 0.491061 -3.77728 -1.87053 -1.11099
203 20.25 1 0.621951 0.916558 0.664631 -2.1037 -2.46361 -0.96366
204 20.35 0.6 0.154085 0.1061 0.471153 -1.48727 -2.29542 -0.610829
205 20.45 0.7 0.904615 0.846066 0.487462 -0.733925 -0.128538 -0.963515
206 20.55 0.5 0.584075 0.199263 0.254734 -0.869987 -0.622823 -0.919803
207 20.65 0.7 1.12159 0.771122 0.267588 -0.819058 1.54234 -0.591164
208 20.75 0.5 0.20018 0.314535 0.729078 -1.74489 0.831189 -0.396776
209 20.85 1 0.286897 0.917906 0.558226 -1.38209 0.931066 -0.61421
210 20.95 1.1 1.49461 0.862262 1.2223 -0.565322 4.5079 -0.907135
211 21.05 0.7 0.467268 0.519899 0.116963 -2.14387 -1.74766 -1.23033
212 21.15 0.9 0.758456 0.443043 0.24356 -2.26777 -2.72057 -1.14799
213 21.25 0.6 0.113721 0.208087 0.920811 -2.23345 -2.60027 -1.4376
214 21.35 0.4 0.215749 0.25337 0.25562 -2.19587 -1.70552 -1.46917
215 21.45 0.3 0.0817471 0.165557 0.104189 -2.16887 -1.51985 -1.38721
216 21.55 1 0.405392 0.566388 0.851844 -2.61669 -2.20511 -1.34881
217 21.65 1 0.707138 0.730459 1.16855 -2.68649 -0.182921 -1.36609
218 21.75 0.9 1.15814 0.840311 0.804372 -1.28295 0.268377 -1.16208
219 21.85 0.5 0.711656 0.125474 0.505334 -1.20653 3.59379 -0.923726
220 21.95 1.3 0.495745 0.972919 1.05495 -2.29028 -1.45135 -1.37036
221 22.05 0.6 0.264147 0.670799 0.943139 -2.38893 -1.47845 -0.682791
222 22.15 0.4 0.294544 0.452418 0.211713 -1.4174 -1.1319 -1.15739
223 22.25 0.6 0.724779 0.365521 0.579918 -0.810288 -2.21511 -1.07206
224 22.35 0.7 0.44274 0.62909 1.13826 -1.9063 -2.12484 -0.795201
225 22.45 0.7 0.584583 0.658934 0.899662 -1.6803 -2.06232 -0.792831
226 22.55 0.9 0.72823 0.278718 0.525157 0.69047 4.77263 -0.710963
227 22.65 0.4 0.622441 0.745321 0.479599 0.637444 -0.778864 -0.95312
228 22.75 1.2 0.944157 0.582756 0.661804 0.062197 -0.663887 -1.06014
229 22.85 0.8 1.05851 0.463545 1.01044 0.160532 0.349827 -1.24678
230 22.95 1 1.39687 0.709707 1.4438 -1.09315 1.74146 -1.41508
231 23.05 0.4 0.0296087 0.711219 0.436317 -2.26412 -1.56196 -1.67896
232 23.15 0.8 0.501862 0.422014 0.740442 -2.36106 -2.00353 -1.70041
233 23.25 0.5 0.145418 0.241067 0.174277 -0.88902 -2.25966 -1.67333
234 23.35 0.8 0.408726 0.691977 0.312247 -0.181136 -1.95432 -1.31177
235 23.45 0.7 1.0131 0.403499 0.541427 -0.422123 -1.58268 -1.32444
236 23.55 0.4 0.0714744 0.0688414 0.427967 -1.0065 -1.64133 -1.39096
237 23.65 0.6 1.32628 1.14937 0.58848 -1.27958 -1.98131 -1.49735
238 23.75 0.9 0.734413 0.45923 1.63808 1.42503 -1.54437 -1.44887
239 23.85 0.6 0.328566 0.184184 1.04472 -1.78882 -1.99841 -1.29906
240 23.95 1 0.681184 0.412482 0.643965 -2.39589 -2.27056 -0.864295
241 24.05 0.6 1.45056 0.854654 0.435722 -2.00605 -1.90036 -0.740504
242 24.15 0.6 0.7558 0.30125 0.917706 -1.56368 -1.1673 -0.815407
243 24.25 0.7 0.837485 0.252715 1.02792 -1.95593 -1.37035 -0.950683
244 24.35 0.8 0.241321 0.364527 0.36682 -0.200249 -1.13079 -0.490282
245 24.45 0.4 0.164064 0.618708 0.206741 0.258953 -0.787446 -0.0892491
246 24.55 0.6 0.373461 0.537043 0.355978 -0.749439 -1.37525 -0.206262
247 24.65 1.1 0.371717 1.28697 0.724854 -2.1268 -2.87788 -0.274582
248 24.75 0.7 0.434855 0.282523 1.21196 0.615924 -1.87562 0.261305
249 24.85 0.7 0.514466 0.998485 0.66624 2.66924 -1.14748 0.561654
250 24.95 0.8 0.76776 0.351869 0.92252 1.71973 -0.802707 0.556061
251 25.05 0.5 0.453524 0.295892 0.577692 -0.243289 -0.750881 0.319087
252 25.15 0.8 0.572184 0.435564 0.287308 -0.649145 -0.850739 0.225219
253 25.25 0.3 0.301096 0.085573 0.0518658 -2.22825 -1.2189 -0.230812
254 25.35 0.5 0.0489572 0.543207 0.731503 -1.82411 -1.18665 -0.5765
255 25.45 0.7 0.746146 0.78923 0.309558 -0.819298 -0.92775 -0.490864
256 25.55 0.5 0.371334 0.132462 0.460482 -0.988007 -1.85294 -0.428103
257 25.65 0.9 1.15069 0.421933 0.698005 -0.140361 -0.759357 0.161142
258 25.75 0.5 0.311054 1.31534 0.16592 1.35402 -0.243581 -0.0261169
259 25.85 0.5 0.309236 0.711868 0.821778 -0.843426 -0.723138 -0.128793
260 25.95 0.4 0.393111 0.0203934 0.211759 -0.727258 -1.21082 -0.225707
261 26.05 0.4 0.125884 0.0893336 0.799768 -1.01592 -0.748827 -0.450459
262 26.15 0.4 0.183512 0.448831 0.360735 -1.01002 -0.869301 -0.636131
